index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,,8,,3,,3,
3,,4,9,,,3,3,
4,3,,10,,3,,3,
5,,6,,,,3,,
6,5,,12,,3,,3,
7,,,13,,,,3,
8,,,14,2,,,3,3
9,,,15,3,,,3,3
10,,,,4,,,,3
11,,12,17,,,3,3,
12,11,,,6,3,,,3
13,,,19,7,,,3,3
14,,15,,8,,3,,3
15,14,16,,9,3,3,,3
16,15,,22,,3,,3,
17,,18,,11,,3,,3
18,17,,24,,3,,3,
19,,20,25,13,,3,3,3
20,19,21,26,,3,3,3,
21,20,22,,,3,3,,
22,21,,,16,3,,,3
23,,24,29,,,3,3,
24,23,,,18,3,,,3
25,,,,19,,,,3
26,,27,32,20,,3,3,3
27,26,,33,,3,,3,
28,,29,34,,,3,3,
29,28,30,,23,3,3,,3
30,29,,,,3,,,
31,,32,37,,,3,3,
32,31,33,38,26,3,3,3,3
33,32,34,,27,3,3,,3
34,33,35,40,28,3,3,3,3
35,34,,41,,3,,3,
36,,,42,,,,3,
37,,,,31,,,,3
38,,39,,32,,3,,3
39,38,,45,,3,,3,
40,,,,34,,,,3
41,,,,35,,,,3
42,,,48,36,,,3,3
43,,44,,,,3,,
44,43,45,,,3,3,,
45,44,46,,39,3,3,,3
46,45,47,,,3,3,,
47,46,48,,,3,3,,
48,47,,,42,3,,,3
