index,North,South,West,East,ND,SD,WD,ED
1,,2,,,,3,,
2,1,3,8,,3,3,3,
3,2,,9,,3,,3,
4,,,10,,,,3,
5,,6,11,,,3,3,
6,5,,12,,3,,3,
7,,,13,,,,3,
8,,,14,2,,,3,3
9,,10,,3,,3,,3
10,9,11,16,4,3,3,3,3
11,10,,17,5,3,,3,3
12,,,,6,,,,3
13,,14,,7,,3,,3
14,13,15,20,8,3,3,3,3
15,14,16,21,,3,3,3,
16,15,17,22,10,3,3,3,3
17,16,18,,11,3,3,,3
18,17,,,,3,,,
19,,20,,,,3,,
20,19,,,14,3,,,3
21,,22,27,15,,3,3,3
22,21,23,,16,3,3,,3
23,22,24,,,3,3,,
24,23,,30,,3,,3,
25,,26,31,,,3,3,
26,25,27,32,,3,3,3,
27,26,,33,21,3,,3,3
28,,29,34,,,3,3,
29,28,,,,3,,,
30,,,36,24,,,3,3
31,,,37,25,,,3,3
32,,,38,26,,,3,3
33,,34,39,27,,3,3,3
34,33,,40,28,3,,3,3
35,,36,,,,3,,
36,35,,42,30,3,,3,3
37,,,,31,,,,3
38,,,,32,,,,3
39,,,45,33,,,3,3
40,,41,46,34,,3,3,3
41,40,42,,,3,3,,
42,41,,48,36,3,,3,3
43,,44,,,,3,,
44,43,45,,,3,3,,
45,44,,,39,3,,,3
46,,47,,40,,3,,3
47,46,,,,3,,,
48,,,,42,,,,3
